날짜,월,채널,결제금액_KRW,결제금액_USD,상품수
2025-01-01,2025-01,국내자사몰,47730.0,,1
2025-01-01,2025-01,국내자사몰,65190.0,,1
2025-01-01,2025-01,국내자사몰,97320.0,,2
2025-01-01,2025-01,국내자사몰,91830.0,,1
2025-01-01,2025-01,국내자사몰,148530.0,,1
2025-01-01,2025-01,국내자사몰,91830.0,,1
2025-01-01,2025-01,국내자사몰,173730.0,,1
2025-01-01,2025-01,국내자사몰,163820.0,,1
2025-01-01,2025-01,국내자사몰,82110.0,,3
2025-01-01,2025-01,국내자사몰,48535.0,,1
2025-01-01,2025-01,국내자사몰,51020.0,,1
2025-01-01,2025-01,국내자사몰,140445.0,,1
2025-01-01,2025-01,국내자사몰,91830.0,,1
2025-01-01,2025-01,국내자사몰,65190.0,,1
2025-01-01,2025-01,국내자사몰,68190.0,,1
2025-01-01,2025-01,국내자사몰,207420.0,,2
2025-01-01,2025-01,국내자사몰,47730.0,,1
2025-01-01,2025-01,국내자사몰,191370.0,,1
2025-01-01,2025-01,국내자사몰,65190.0,,1
2025-01-01,2025-01,국내자사몰,159330.0,,2
2025-01-01,2025-01,국내자사몰,71670.0,,1
2025-01-01,2025-01,국내자사몰,191370.0,,1
2025-01-02,2025-01,국내자사몰,93300.0,,1
2025-01-02,2025-01,국내자사몰,173730.0,,1
2025-01-02,2025-01,국내자사몰,117750.0,,1
2025-01-02,2025-01,국내자사몰,124500.0,,1
2025-01-02,2025-01,국내자사몰,205810.0,,2
2025-01-02,2025-01,국내자사몰,65190.0,,1
2025-01-02,2025-01,국내자사몰,153000.0,,2
2025-01-02,2025-01,국내자사몰,47730.0,,1
2025-01-02,2025-01,국내자사몰,164550.0,,1
2025-01-02,2025-01,국내자사몰,65190.0,,1
2025-01-02,2025-01,국내자사몰,47730.0,,1
2025-01-02,2025-01,국내자사몰,90300.0,,3
2025-01-02,2025-01,국내자사몰,65190.0,,1
2025-01-02,2025-01,국내자사몰,47730.0,,1
2025-01-02,2025-01,국내자사몰,25950.0,,1
2025-01-02,2025-01,국내자사몰,124500.0,,1
2025-01-02,2025-01,국내자사몰,91830.0,,1
2025-01-02,2025-01,국내자사몰,47730.0,,1
2025-01-02,2025-01,국내자사몰,91830.0,,1
2025-01-02,2025-01,국내자사몰,173730.0,,1
2025-01-02,2025-01,국내자사몰,164245.0,,1
2025-01-02,2025-01,국내자사몰,47730.0,,1
2025-01-02,2025-01,국내자사몰,65190.0,,1
2025-01-02,2025-01,국내자사몰,191370.0,,1
